id,active
1,TRUE
2,FALSE
3,TRUE
4,FALSE
5,FALSE
6,TRUE
7,FALSE
8,FALSE
9,TRUE
10,FALSE
11,FALSE
12,TRUE
13,FALSE
14,TRUE
15,FALSE
16,TRUE
17,TRUE
18,FALSE
19,FALSE
20,FALSE
21,TRUE
22,TRUE
23,TRUE
24,TRUE
25,TRUE
26,TRUE
27,FALSE
28,FALSE
29,TRUE
30,FALSE
31,TRUE
32,TRUE
33,FALSE
34,FALSE
35,TRUE
36,FALSE
37,FALSE
38,TRUE
39,FALSE
40,FALSE
41,FALSE
42,TRUE
43,TRUE
44,FALSE
45,FALSE
46,FALSE
47,FALSE
48,TRUE
49,TRUE
50,FALSE
51,TRUE
52,FALSE
53,FALSE
54,FALSE
55,FALSE
56,TRUE
57,TRUE
58,TRUE
59,TRUE
60,TRUE
61,TRUE
62,FALSE
63,FALSE
64,TRUE
65,TRUE
66,FALSE
67,FALSE
68,TRUE
69,TRUE
70,TRUE
71,TRUE
72,FALSE
73,TRUE
74,FALSE
75,FALSE
76,TRUE
77,TRUE
78,FALSE
79,FALSE
80,FALSE
81,FALSE
82,FALSE
83,FALSE
84,FALSE
85,FALSE
86,FALSE
87,FALSE
88,FALSE
89,FALSE
90,FALSE
91,FALSE
92,FALSE
93,FALSE
94,FALSE
95,FALSE
96,FALSE
97,FALSE
98,FALSE
99,FALSE
100,FALSE
101,FALSE
102,FALSE
103,FALSE
104,FALSE
105,FALSE
106,FALSE
107,FALSE
108,FALSE
109,FALSE
110,FALSE
111,TRUE
112,FALSE
113,TRUE
114,FALSE
115,FALSE
116,FALSE
117,TRUE
118,TRUE
119,TRUE
120,FALSE
121,TRUE
122,FALSE
123,FALSE
124,FALSE
125,FALSE
126,FALSE
127,FALSE
128,FALSE
129,FALSE
130,FALSE
131,FALSE
132,FALSE
133,FALSE
134,FALSE
135,FALSE
136,FALSE
137,FALSE
138,FALSE
139,FALSE
140,FALSE
141,FALSE
142,FALSE
143,FALSE
144,FALSE
145,FALSE
146,FALSE
147,FALSE
148,FALSE
149,FALSE
150,FALSE
151,FALSE
152,FALSE
153,FALSE
154,FALSE
155,TRUE
156,FALSE
157,FALSE
158,FALSE
159,FALSE
160,FALSE
161,FALSE
162,FALSE
163,FALSE
164,FALSE
165,FALSE
166,FALSE
167,FALSE
168,FALSE
169,FALSE
170,FALSE
171,FALSE
172,FALSE
173,FALSE
174,FALSE
175,FALSE
176,FALSE
177,FALSE
178,FALSE
179,FALSE
180,FALSE
181,FALSE
182,FALSE
183,FALSE
184,FALSE
185,FALSE
186,FALSE
187,FALSE
188,FALSE
189,FALSE
190,FALSE
191,FALSE
192,FALSE
193,TRUE
194,FALSE
195,FALSE
196,FALSE
197,FALSE
198,TRUE
199,TRUE
200,FALSE
201,TRUE
202,TRUE
203,TRUE
204,FALSE
205,FALSE
206,FALSE
207,FALSE
208,FALSE
209,FALSE
210,FALSE
211,FALSE
212,FALSE
213,FALSE
214,FALSE
215,TRUE
216,TRUE
217,FALSE
218,FALSE
219,FALSE
220,FALSE
221,FALSE
222,FALSE
223,FALSE
224,TRUE
225,FALSE
226,FALSE
227,TRUE
228,FALSE
229,FALSE
230,FALSE
231,TRUE
232,TRUE
233,TRUE
234,FALSE
235,FALSE
236,FALSE
237,TRUE
238,FALSE
239,FALSE
240,TRUE
241,TRUE
242,FALSE
243,FALSE
244,FALSE
245,TRUE
246,FALSE
247,TRUE
248,TRUE
249,TRUE
250,TRUE
251,TRUE
252,TRUE
253,FALSE
254,TRUE
255,FALSE
256,TRUE
257,TRUE
258,TRUE
259,TRUE
260,FALSE
261,TRUE
262,TRUE
263,TRUE
264,TRUE
265,TRUE
266,TRUE
267,TRUE
268,TRUE
269,TRUE
270,TRUE
271,TRUE
272,TRUE
273,TRUE
274,TRUE
275,TRUE
276,TRUE
277,TRUE
278,TRUE
279,TRUE
